BatteryName,Cluster_1,Cluster_2,Cluster_3,AssignedCluster
crack=7.0;100_cycles,0.041946543771282874,0.007734756151125602,0.9503187000775916,3
crack=7.2;100_cycles,0.03885855929265617,0.007081552694825691,0.9540598880125182,3
crack=7.4;100_cycles,0.03551330619393255,0.006388069668583818,0.9580986241374836,3
crack=7.6;100_cycles,0.031954268009707146,0.005666169663019225,0.9623795623272735,3
crack=7.8;100_cycles,0.02822147886039303,0.004926592010970089,0.9668519291286368,3
crack=8.0;100_cycles,0.024357058780042514,0.004179997634487384,0.97146294358547,3
crack=8.2;100_cycles,0.020425936359515628,0.00344071514461271,0.9761333484958716,3
crack=8.4;100_cycles,0.016533816060695383,0.0027295116545905675,0.9807366722847141,3
crack=8.6;100_cycles,0.012818736823981398,0.0020708751969371877,0.9851103879790813,3
crack=8.8;100_cycles,0.009440803304119495,0.0014904969590728272,0.9890686997368077,3
crack=9.0;100_cycles,0.00653040106356973,0.0010061711517361266,0.9924634277846942,3
crack=9.2;100_cycles,0.004249054753222896,0.0006382821547706361,0.9951126630920065,3
crack=9.4;100_cycles,0.002672919800313018,0.00039112498083739456,0.9969359552188496,3
crack=9.6;100_cycles,0.001833770689646452,0.0002611736532325285,0.9979050556571211,3
crack=9.8;100_cycles,0.0017050677480872573,0.00023625817437874396,0.998058674077534,3
crack=10.0;100_cycles,0.0022647627587254675,0.00030509797261536194,0.9974301392686592,3
crack=10.2;100_cycles,0.0035397725001615633,0.0004632607962654453,0.995996966703573,3
crack=10.4;100_cycles,0.005748685330382682,0.0007297926827926653,0.9935215219868248,3
crack=10.6;100_cycles,0.009471990421498998,0.0011628206170651964,0.9893651889614358,3
crack=10.8;100_cycles,0.015709338585512895,0.0018552382500329216,0.9824354231644543,3
crack=11.0;100_cycles,0.025929760111533744,0.0029237089329878473,0.9711465309554785,3
crack=11.2;100_cycles,0.042381861551880375,0.004516532082533674,0.953101606365586,3
crack=11.4;100_cycles,0.06767474427641007,0.006737632530623668,0.9255876231929663,3
crack=11.6;100_cycles,0.10408127810601173,0.009570608410334396,0.8863481134836538,3
crack=11.8;100_cycles,0.1541515306012497,0.012925819531941806,0.8329226498668085,3
crack=12.0;100_cycles,0.22198708177311213,0.016674826627392475,0.7613380915994954,3
crack=12.2;100_cycles,0.3124526287332908,0.020489326298253258,0.6670580449684559,3
crack=12.4;100_cycles,0.4251113879784056,0.023544606345265017,0.5513440056763294,3
crack=12.6;100_cycles,0.5550426940839994,0.024785195917429767,0.42017210999857074,1
crack=12.8;100_cycles,0.6957101183054831,0.023125281408880018,0.2811646002856369,1
crack=13.0;100_cycles,0.8288102926446131,0.017845395642862142,0.1533443117125247,1
crack=13.2;100_cycles,0.9262800658960882,0.010316790689929379,0.06340314341398241,1
crack=13.4;100_cycles,0.9830618546025252,0.0031450768081169533,0.013793068589357972,1
crack=13.6;100_cycles,0.9983568606110481,0.0004143835063479508,0.001228755882603752,1
crack=13.8;100_cycles,0.9616766041025367,0.01345758398990155,0.024865811907561642,1
crack=14.0;100_cycles,0.8738905972785217,0.06000812558508207,0.06610127713639619,1
crack=14.2;100_cycles,0.7304093666631879,0.16736121736464007,0.10222941597217196,1
crack=14.4;100_cycles,0.48680127978293236,0.40472720670271556,0.10847151351435202,1
crack=14.6;100_cycles,0.1654432105313389,0.7813082266358374,0.05324856283282376,2
crack=14.8;100_cycles,0.001115469850591096,0.9984014129020478,0.00048311724736105,2
crack=15.0;100_cycles,0.08172316291403019,0.8725768822657857,0.04569995482018408,2
